,ISO_A3,year,cluster,0,1,2,3,4,5
0,BDI,2018,0.0,0.057218272,0.055803813,0.055966645,0.05704094,0.7170801,0.056890182
1,BDI,2019,0.0,0.3784254,0.15746169,0.102457054,0.18371241,0.110302925,0.06764052
2,BDI,2020,0.0,0.45979404,0.042842224,0.052207366,0.2241297,0.049606487,0.17142017
3,BDI,2021,0.0,0.27493712,0.06968374,0.1373859,0.2662543,0.06713036,0.18460856
4,BDI,2022,0.0,0.24895868,0.07599525,0.15540904,0.36297616,0.07036072,0.08630012
5,BDI,2023,0.0,0.26703304,0.04173433,0.21794257,0.2792553,0.06828508,0.12574968
6,BEN,2018,0.0,0.3647298,0.04493293,0.30915996,0.16377914,0.07226914,0.04512902
7,BEN,2019,0.0,0.14612949,0.056914274,0.19511606,0.4140359,0.10246187,0.085342415
8,BEN,2020,0.0,0.1984816,0.06811417,0.32935902,0.17203042,0.0437783,0.18823646
9,BEN,2021,0.0,0.15667424,0.08801919,0.17503019,0.28361368,0.089059286,0.20760338
10,BEN,2022,0.0,0.15873949,0.11962668,0.14024264,0.24064775,0.15050408,0.19023937
11,BEN,2023,0.0,0.114444874,0.081252836,0.25983402,0.24088302,0.10129114,0.20229413
12,BFA,2018,0.0,0.027931258,0.027963804,0.027997656,0.027821874,0.027865876,0.8604196
13,BFA,2019,0.0,0.28825474,0.05365314,0.04152438,0.18953301,0.1262952,0.30073953
14,BFA,2020,0.0,0.19453296,0.07854507,0.22483423,0.35755655,0.06042852,0.08410269
15,BFA,2021,0.0,0.14645092,0.11534764,0.29855576,0.18884668,0.07891961,0.17187938
16,BFA,2022,0.0,0.22383933,0.15704876,0.1401368,0.22155626,0.07811845,0.17930041
17,BFA,2023,0.0,0.17786554,0.10592556,0.15140638,0.248803,0.084769905,0.23122962
18,BGD,2016,0.0,0.38156784,0.04870488,0.21050899,0.26140153,0.049039032,0.048777714
19,BGD,2017,0.0,0.08322664,0.083661035,0.083221495,0.08322057,0.583451,0.08321928
20,BGD,2018,0.0,0.20858818,0.061473615,0.19239555,0.16572833,0.06566362,0.3061507
21,BGD,2019,0.0,0.18390612,0.10465963,0.22792524,0.289713,0.0806493,0.113146715
22,BGD,2020,0.0,0.17663646,0.059590675,0.3293826,0.171031,0.08432597,0.1790333
23,BGD,2021,0.0,0.05680609,0.06136474,0.10175562,0.09596367,0.2077476,0.4763623
24,BGD,2022,0.0,0.07455799,0.07601651,0.13257727,0.12212808,0.10408187,0.4906383
25,BGD,2023,0.0,0.08810542,0.15561815,0.22399756,0.1549128,0.05917128,0.31819478
26,BGR,2018,0.0,0.29837573,0.07907436,0.12506908,0.2794804,0.07202319,0.14597724
27,BGR,2019,0.0,0.34948722,0.07699107,0.09486311,0.2618801,0.08038082,0.13639766
28,BGR,2020,0.0,0.25403512,0.07937155,0.14146079,0.30083466,0.085882865,0.13841502
29,BGR,2021,0.0,0.24454354,0.082731985,0.09747463,0.3227913,0.10822912,0.14422944
30,BGR,2022,0.0,0.13310301,0.07186937,0.07236713,0.22448319,0.38890094,0.10927635
31,BGR,2023,0.0,0.17817408,0.07587474,0.11076657,0.3417142,0.1286253,0.16484511
32,BTN,2018,0.0,0.45210108,0.044842217,0.114858605,0.1011402,0.15256694,0.13449095
33,BTN,2019,0.0,0.44056696,0.062361892,0.06826241,0.21729158,0.12616421,0.08535295
34,BTN,2020,0.0,0.4880812,0.08876346,0.10150731,0.13781267,0.10269167,0.0811437
35,BTN,2021,0.0,0.28968227,0.061975803,0.09862243,0.22641736,0.1119646,0.21133752
36,BTN,2022,0.0,0.19313952,0.10283396,0.084565185,0.20635942,0.14275622,0.2703457
37,BTN,2023,0.0,0.21272469,0.06474287,0.121434785,0.3510027,0.14599296,0.10410201
38,CMR,2018,0.0,0.29129872,0.072091624,0.13039854,0.3196848,0.063242935,0.123283386
39,CMR,2019,0.0,0.34164107,0.07123322,0.08015879,0.2943484,0.07081119,0.14180732
40,CMR,2020,0.0,0.35393384,0.04705357,0.08658605,0.26678184,0.0794975,0.16614717
41,CMR,2021,0.0,0.18625318,0.068536,0.21315892,0.39240247,0.05929,0.08035943
42,CMR,2022,0.0,0.13835573,0.06707161,0.29814792,0.25890067,0.11536421,0.12215983
43,CMR,2023,0.0,0.27090332,0.07741271,0.16271138,0.26197818,0.074395,0.15259944
44,COD,2017,0.0,0.7213556,0.055791996,0.05545106,0.05618069,0.05552777,0.05569285
45,COD,2018,0.0,0.42156845,0.15536298,0.04414545,0.23487957,0.035722867,0.10832068
46,COD,2019,0.0,0.30758715,0.0506028,0.09207615,0.33476633,0.110624954,0.104342625
47,COD,2020,0.0,0.18627518,0.10641775,0.12713948,0.29445267,0.074212335,0.21150257
48,COD,2021,0.0,0.285532,0.070987456,0.11505626,0.28354254,0.08360779,0.16127394
49,COD,2022,0.0,0.08706061,0.12244772,0.08040159,0.13078554,0.48668647,0.09261808
50,COD,2023,0.0,0.20578417,0.069711134,0.17175724,0.17428201,0.11505437,0.26341105
51,CUB,2017,0.0,0.14380011,0.36874762,0.03763475,0.03758899,0.2396798,0.17254873
52,CUB,2018,0.0,0.37881297,0.11060331,0.052126203,0.12428115,0.1887109,0.14546546
53,CUB,2019,0.0,0.32099605,0.10859023,0.08241468,0.28519028,0.0884709,0.11433786
54,CUB,2020,0.0,0.21071084,0.11349486,0.1444444,0.21938102,0.20082001,0.11114886
55,CUB,2021,0.0,0.181975,0.060000625,0.06357147,0.11563953,0.3458068,0.23300657
56,CUB,2022,0.0,0.18475568,0.06947304,0.10813695,0.15211275,0.30998328,0.17553829
57,CUB,2023,0.0,0.23064934,0.05043573,0.14576265,0.22485784,0.18010649,0.16818795
58,GAB,2018,0.0,0.8806789,0.023778712,0.023832962,0.02416098,0.023763,0.02378546
59,GAB,2019,0.0,0.33214673,0.11770413,0.2507319,0.15212026,0.07488294,0.07241407
60,GAB,2020,0.0,0.16752636,0.04184224,0.2486465,0.43676442,0.04184977,0.063370705
61,GAB,2021,0.0,0.21008457,0.09442576,0.231296,0.24481326,0.16211264,0.057267785
62,GAB,2022,0.0,0.22078504,0.048106268,0.16533993,0.21460915,0.17896391,0.17219567
63,GAB,2023,0.0,0.15148129,0.24665137,0.38950127,0.03036398,0.088145964,0.09385611
64,GEO,2016,0.0,0.024166236,0.024157077,0.02401435,0.57543296,0.02389958,0.32832977
65,GEO,2018,0.0,0.33082232,0.06349735,0.07079165,0.32227248,0.10722589,0.10539031
66,GEO,2019,0.0,0.40579084,0.05680528,0.11187818,0.23265424,0.07811485,0.11475663
67,GEO,2020,0.0,0.31801856,0.06326712,0.18493044,0.32462314,0.051014286,0.058146488
68,GEO,2021,0.0,0.18247129,0.059629798,0.094738595,0.2623729,0.26081374,0.13997364
69,GEO,2022,0.0,0.20327608,0.076710194,0.10139859,0.20158817,0.2039415,0.21308549
70,GEO,2023,0.0,0.24700092,0.06641603,0.121983774,0.1974385,0.17907807,0.1880827
71,IDN,2015,0.0,0.2517853,0.16451684,0.06715146,0.17528899,0.17347783,0.16777958
72,IDN,2016,0.0,0.2545833,0.09506191,0.08502817,0.23043494,0.17542556,0.1594661
73,IDN,2017,0.0,0.2841506,0.09361677,0.10227597,0.28132597,0.13086613,0.10776455
74,IDN,2018,0.0,0.25030494,0.07023666,0.20900166,0.23868106,0.09231782,0.13945785
75,IDN,2019,0.0,0.24177921,0.07214539,0.18332121,0.26179662,0.11134783,0.12960975
76,IDN,2020,0.0,0.1852634,0.07610026,0.1819064,0.30452085,0.10061311,0.151596
77,IDN,2021,0.0,0.120727494,0.10055658,0.1075163,0.18886189,0.14082435,0.34151337
78,IDN,2022,0.0,0.103675544,0.109682545,0.19776587,0.14473717,0.21861506,0.22552383
79,IDN,2023,0.0,0.13049571,0.10153792,0.20134917,0.17407244,0.12976411,0.26278067
80,IND,2015,0.0,0.42536026,0.061992846,0.049416132,0.17784454,0.11579095,0.16959524
81,IND,2016,0.0,0.3885098,0.100214966,0.07850216,0.17890848,0.11791898,0.13594557
82,IND,2017,0.0,0.42634112,0.12176543,0.1189538,0.07360913,0.13213749,0.12719308
83,IND,2018,0.0,0.3633572,0.09197968,0.11853861,0.21841218,0.08298809,0.1247243
84,IND,2019,0.0,0.3626273,0.08276099,0.10234084,0.2373354,0.08620424,0.12873124
85,IND,2020,0.0,0.32531762,0.06590821,0.14123227,0.193858,0.07018799,0.2034959
86,IND,2021,0.0,0.19260105,0.094692275,0.13637625,0.22866414,0.1356237,0.21204259
87,IND,2022,0.0,0.17099424,0.19107379,0.116497226,0.17976475,0.18398571,0.15768428
88,IND,2023,0.0,0.22623746,0.09041039,0.13756803,0.2578374,0.12439004,0.16355667
89,KHM,2016,0.0,0.51247454,0.027931085,0.02801945,0.3750497,0.028328497,0.028196763
90,KHM,2018,0.0,0.3107907,0.18240404,0.1301062,0.1771463,0.06954494,0.13000785
91,KHM,2019,0.0,0.28732494,0.0907792,0.09844607,0.2561659,0.1733234,0.09396053
92,KHM,2020,0.0,0.2625875,0.084162176,0.11950976,0.29130492,0.068071395,0.17436425
93,KHM,2021,0.0,0.44467595,0.037597448,0.061623022,0.10965427,0.23073897,0.115710355
94,KHM,2022,0.0,0.4554686,0.055857606,0.0820878,0.08518968,0.20452815,0.11686817
95,KHM,2023,0.0,0.4947962,0.11437597,0.071067594,0.15325567,0.06540177,0.1011028
96,LAO,2018,0.0,0.23686914,0.06554137,0.27001065,0.20163722,0.060655277,0.16528635
97,LAO,2019,0.0,0.19301188,0.057785798,0.1290202,0.2128379,0.06488813,0.3424561
98,LAO,2020,0.0,0.2904143,0.061539084,0.20090872,0.25561795,0.114823855,0.07669608
99,LAO,2021,0.0,0.19762848,0.05873459,0.23333803,0.25508082,0.063579105,0.19163896
100,LAO,2022,0.0,0.17502151,0.089588165,0.22264692,0.17131312,0.23251367,0.10891661
101,LAO,2023,0.0,0.24023956,0.10269365,0.17932476,0.21552467,0.05302787,0.20918947
102,LKA,2016,0.0,0.8596992,0.02784831,0.027926112,0.028636161,0.027900705,0.027989537
