,ISO_A3,year,cluster,0,1,2,3,4,5,6,7,8,9
0,AFG,2018,1.0,0.17930378,0.11978303,0.058924668,0.0720513,0.025051992,0.03740858,0.056354295,0.22930582,0.124969006,0.09684754
1,AFG,2019,1.0,0.09507894,0.046073306,0.09539981,0.15827496,0.06922758,0.083012834,0.114039324,0.1265418,0.12713595,0.085215494
2,AFG,2020,1.0,0.090121895,0.086705,0.059166465,0.09733286,0.18458232,0.061110552,0.08799193,0.08925963,0.19385998,0.049869366
3,AFG,2021,1.0,0.050875273,0.17261234,0.046927646,0.14528689,0.10718953,0.07088846,0.07420552,0.06655882,0.21484281,0.05061273
4,AFG,2022,1.0,0.08640965,0.09559867,0.05342929,0.08311115,0.13555822,0.08508584,0.14552477,0.06430103,0.17791325,0.07306815
5,AFG,2023,1.0,0.061275758,0.1471742,0.033242576,0.17556903,0.08517981,0.11355814,0.048022337,0.07548025,0.20360073,0.056897152
6,AGO,2018,1.0,0.019575225,0.19909763,0.08209804,0.019578008,0.019577622,0.064670265,0.1786306,0.15911026,0.08466778,0.17299455
7,AGO,2019,1.0,0.07904792,0.091738835,0.13935536,0.18748295,0.09641891,0.020151127,0.11801767,0.11674942,0.096918575,0.054119226
8,AGO,2020,1.0,0.08814675,0.07560842,0.16159007,0.15203893,0.057076704,0.07987358,0.09690815,0.07017423,0.15150212,0.06708108
9,AGO,2021,1.0,0.4163174,0.04291607,0.17116779,0.0777315,0.032990452,0.031021845,0.11924434,0.044736795,0.039941512,0.023932297
10,AGO,2022,1.0,0.06293404,0.093539916,0.09217366,0.07742244,0.13244396,0.08003568,0.13882518,0.084505945,0.15738575,0.08073342
11,AGO,2023,1.0,0.019931305,0.24147199,0.05938189,0.15725388,0.17046717,0.03544644,0.077032976,0.121381186,0.03793911,0.07969405
12,ARG,2016,1.0,0.05425117,0.13751945,0.054251157,0.054249767,0.11676164,0.054249536,0.1790788,0.13757269,0.15781689,0.05424892
13,ARG,2017,1.0,0.3231789,0.019797418,0.019795606,0.13089105,0.019797921,0.15821889,0.019796655,0.14453557,0.14419103,0.019796943
14,ARG,2018,1.0,0.08603181,0.116847485,0.060729127,0.10977123,0.13023156,0.063309774,0.09190901,0.13060068,0.13037956,0.08018976
15,ARG,2019,1.0,0.079230495,0.11063857,0.058958817,0.09225963,0.13220231,0.06956106,0.087948,0.14410104,0.135667,0.08943309
16,ARG,2020,1.0,0.07620168,0.14437534,0.05676369,0.10943351,0.09707191,0.075094625,0.10572031,0.11199562,0.14711294,0.07623041
17,ARG,2021,1.0,0.059321433,0.1462297,0.050900757,0.08705764,0.11609505,0.07753992,0.10868623,0.13070352,0.12999716,0.09346857
18,ARG,2022,1.0,0.06011251,0.1215591,0.07057144,0.09205485,0.1117916,0.0591611,0.13522594,0.16061684,0.10184806,0.08705856
19,ARG,2023,1.0,0.061546683,0.12059825,0.049840648,0.095910385,0.10223832,0.056133926,0.106103316,0.18443187,0.112671316,0.11052529
20,ASM,2018,1.0,0.029179778,0.02917618,0.029177157,0.029177813,0.029182218,0.2791078,0.11574113,0.029176734,0.40090224,0.029178925
21,ASM,2019,1.0,0.28114623,0.03128012,0.0312896,0.03128495,0.2432594,0.0312798,0.031281497,0.25661296,0.031284537,0.031280912
22,AZE,2018,1.0,0.087719284,0.15534371,0.10244493,0.08832929,0.09895267,0.06562827,0.16998768,0.079708144,0.04512211,0.1067639
23,AZE,2019,1.0,0.08168732,0.17015783,0.055749264,0.11036411,0.059905164,0.04348123,0.21110962,0.097576536,0.08607532,0.08389358
24,AZE,2020,1.0,0.058995456,0.11178471,0.08399092,0.10883531,0.055211205,0.051711358,0.27521473,0.10896534,0.10315222,0.04213875
25,AZE,2021,1.0,0.029650157,0.115685515,0.032779902,0.06427635,0.07908507,0.056045532,0.15900889,0.13656962,0.11746586,0.2094331
26,AZE,2022,1.0,0.040151145,0.32036504,0.03320113,0.049405135,0.062872514,0.039006054,0.25201628,0.06317711,0.048158962,0.09164661
27,AZE,2023,1.0,0.058808986,0.10297086,0.060353413,0.097635515,0.100447565,0.05653429,0.11809964,0.20627218,0.065001495,0.13387604
28,BLR,2018,1.0,0.0749119,0.1143639,0.057522926,0.12642454,0.09619018,0.07309363,0.15361977,0.10033871,0.13366367,0.06987079
29,BLR,2019,1.0,0.13476042,0.10006162,0.05041742,0.1573811,0.07763561,0.08306047,0.10188023,0.05858382,0.12589203,0.11032727
30,BLR,2020,1.0,0.05344055,0.17535548,0.072873645,0.15172955,0.07667051,0.12571175,0.10813611,0.096344255,0.06944903,0.070289105
31,BLR,2021,1.0,0.07749433,0.09866696,0.032169417,0.07745263,0.11049582,0.15518089,0.1000627,0.07751769,0.07803602,0.19292355
32,BLR,2022,1.0,0.077361375,0.15168236,0.043904625,0.076127104,0.13392423,0.042244185,0.12952659,0.1756949,0.06537039,0.104164265
33,BLR,2023,1.0,0.13187718,0.15972458,0.06844011,0.09048044,0.12717274,0.058382954,0.08522209,0.094097,0.08477547,0.09982745
34,BOL,2018,1.0,0.049666733,0.14683767,0.09612733,0.1124605,0.0469947,0.01539439,0.08082532,0.20836501,0.18834136,0.054987
35,BOL,2019,1.0,0.07866017,0.13940519,0.022894923,0.08831382,0.050924197,0.04792064,0.1305422,0.17220716,0.24600637,0.023125319
36,BOL,2020,1.0,0.024465116,0.11778964,0.03967161,0.11494777,0.09968211,0.034537505,0.22383417,0.17843787,0.09992181,0.066712394
37,BOL,2021,1.0,0.042913053,0.17049548,0.04592498,0.08742724,0.13937902,0.044149257,0.10193459,0.16658525,0.12119853,0.079992585
38,BOL,2022,1.0,0.04019896,0.12022317,0.043144815,0.069244534,0.15248485,0.047123272,0.12090591,0.2122954,0.11369797,0.08068112
39,BOL,2023,1.0,0.06426448,0.17160371,0.037867796,0.15220378,0.1201526,0.027960265,0.08629439,0.07398051,0.19175223,0.07392026
40,BRA,2015,1.0,0.03338836,0.033390045,0.033386253,0.6995022,0.033393845,0.033386454,0.033388115,0.033388022,0.033389136,0.033387553
41,BRA,2016,1.0,0.02013646,0.03988375,0.03913001,0.1659694,0.0458452,0.0905908,0.06354993,0.19323342,0.298427,0.04323406
