,ISO_A3,year,cluster,0,1,2,3,4,5,6,7,8,9,10,11,12
0,ALB,2018,2.0,0.054380026,0.054225076,0.06651655,0.13665159,0.073862724,0.07019157,0.055001292,0.057834778,0.17881142,0.05354477,0.024077622,0.036138657,0.13876392
1,ALB,2019,2.0,0.05738721,0.08230667,0.029014686,0.1521244,0.11405276,0.064281754,0.06260568,0.053331252,0.10679178,0.07807344,0.046096906,0.059615854,0.0943176
2,ALB,2020,2.0,0.04204933,0.091162734,0.02196601,0.15945227,0.060787026,0.076245524,0.051310007,0.05368879,0.12083465,0.051185787,0.038276866,0.038153637,0.19488737
3,ALB,2021,2.0,0.0477694,0.08979,0.032073997,0.17031084,0.076939724,0.056866094,0.048812952,0.048198372,0.08798349,0.062080834,0.07425433,0.038823716,0.16609626
4,ALB,2022,2.0,0.07675615,0.05948217,0.053756874,0.11284192,0.06177994,0.05801188,0.04037202,0.06400191,0.119233534,0.04433739,0.132189,0.044790644,0.13244656
5,ALB,2023,2.0,0.032672264,0.12922776,0.05537531,0.24722475,0.04394084,0.040372178,0.033064872,0.07174904,0.09706153,0.047166415,0.029890334,0.04801892,0.124235764
6,AUS,2015,2.0,0.04296076,0.25446093,0.011130245,0.073195115,0.10539974,0.011130211,0.07956042,0.011130205,0.11376778,0.08253089,0.1108353,0.037567053,0.06633135
7,AUS,2016,2.0,0.0372272,0.09915474,0.060193148,0.07446303,0.20903504,0.031079939,0.09268437,0.097216986,0.094365865,0.07232699,0.06241917,0.038216665,0.031616848
8,AUS,2017,2.0,0.028961824,0.08333033,0.029525347,0.08086324,0.1494538,0.05937871,0.08629384,0.10041393,0.084460124,0.087920554,0.04270031,0.055242147,0.111455835
9,AUS,2018,2.0,0.049337458,0.090111405,0.036389947,0.12583414,0.11294189,0.07811206,0.064618595,0.055430852,0.13896918,0.06145202,0.04534163,0.040026043,0.10143478
10,AUS,2019,2.0,0.047755647,0.08991822,0.03644736,0.1284665,0.10185551,0.070885584,0.066461,0.060035218,0.14066471,0.07113321,0.045984335,0.04171466,0.09867807
11,AUS,2020,2.0,0.046632808,0.07794452,0.03429472,0.13567226,0.109500356,0.07204921,0.06505295,0.06025678,0.11208011,0.07248085,0.057641063,0.041776765,0.11461761
12,AUS,2021,2.0,0.071321756,0.07633429,0.04407562,0.12938976,0.07174071,0.068513304,0.052588537,0.067106016,0.09103308,0.06495605,0.0936216,0.055985145,0.11333413
13,AUS,2022,2.0,0.0884662,0.058341514,0.051214717,0.10573637,0.07318064,0.077888384,0.054134585,0.07267801,0.085635446,0.072327025,0.119219564,0.06468141,0.07649615
14,AUS,2023,2.0,0.08133496,0.06717527,0.045480374,0.1220222,0.07344917,0.08377195,0.056594726,0.07100579,0.09512464,0.06357706,0.0970855,0.051594365,0.09178399
15,AUT,2016,2.0,0.019257732,0.2774884,0.019257719,0.019257747,0.5106759,0.01925773,0.019257868,0.019257825,0.019257855,0.019257965,0.019257795,0.019257702,0.0192578
16,AUT,2017,2.0,0.042672195,0.06441806,0.0435184,0.061826807,0.036586877,0.05093146,0.041431136,0.03658686,0.03658687,0.046651334,0.060396224,0.03658685,0.44180694
17,AUT,2018,2.0,0.04434886,0.07622884,0.035870343,0.14530484,0.13770272,0.07148268,0.054853305,0.05199998,0.16382106,0.05425181,0.046648398,0.03448383,0.08300333
18,AUT,2019,2.0,0.053590152,0.08300918,0.034178182,0.1496867,0.07446026,0.073268756,0.05285665,0.0515931,0.1694912,0.054925226,0.051634766,0.046914086,0.104391746
19,AUT,2020,2.0,0.05219002,0.06315815,0.034786027,0.1390051,0.13413896,0.06840164,0.06314577,0.053010713,0.09597741,0.082765706,0.059401896,0.040780872,0.113237746
20,AUT,2021,2.0,0.06534465,0.06893493,0.044341914,0.12396277,0.08146279,0.080012076,0.043456938,0.05847895,0.08943133,0.066579536,0.12542397,0.04928121,0.10328893
21,AUT,2022,2.0,0.09396894,0.050487977,0.055358224,0.11529563,0.058513768,0.08686089,0.06945288,0.061107792,0.07658344,0.07149964,0.12632984,0.06467457,0.0698664
22,AUT,2023,2.0,0.07640963,0.07661759,0.05327416,0.092816554,0.062237114,0.06274611,0.06995311,0.08877911,0.08370213,0.11553041,0.08842291,0.045084994,0.08442619
23,BEL,2016,2.0,0.08646428,0.12399097,0.023249986,0.023250476,0.14119835,0.3141329,0.02325003,0.023250345,0.02325018,0.023250254,0.023250178,0.023250125,0.14821194
24,BEL,2017,2.0,0.023742413,0.05135549,0.034499336,0.07075513,0.17012161,0.09010348,0.14014159,0.13219611,0.063070394,0.08629832,0.06357537,0.039456017,0.034684744
25,BEL,2018,2.0,0.039867576,0.0970081,0.031880762,0.09757581,0.117260434,0.091162235,0.06662845,0.052594617,0.16758183,0.056210037,0.051776055,0.041904744,0.08854935
26,BEL,2019,2.0,0.054505978,0.089035526,0.036131907,0.10373844,0.09731856,0.08528902,0.05921453,0.056632083,0.16353175,0.06367717,0.044570185,0.03868904,0.10766583
27,BEL,2020,2.0,0.045313567,0.08275142,0.03438831,0.121110946,0.10070486,0.07969562,0.06149301,0.06736527,0.1457359,0.059284538,0.04576644,0.043716993,0.11267312
28,BEL,2021,2.0,0.07198749,0.089532256,0.039350525,0.1243056,0.069622785,0.056647338,0.047691304,0.06025992,0.117929,0.06445236,0.08130255,0.05297742,0.12394146
29,BEL,2022,2.0,0.11627535,0.070726246,0.04971317,0.09253496,0.06287388,0.06696445,0.048613306,0.058827057,0.08676312,0.058548626,0.103768684,0.10842339,0.07596776
30,BEL,2023,2.0,0.075853154,0.073629916,0.03931712,0.096872784,0.07620205,0.07354521,0.056234866,0.0785657,0.10779408,0.057612095,0.12391811,0.048144203,0.09231072
31,BIH,2018,2.0,0.042178575,0.09213098,0.04259587,0.14402848,0.079235636,0.078684606,0.047670726,0.04638418,0.14388081,0.06539074,0.0414181,0.06446905,0.11193225
