DATE,N,SCORE
2021-01-01,2824741,0.6341276109462779
2021-01-02,2585850,0.5883482653359631
2021-01-03,2720158,0.5817821066956405
2021-01-04,2686720,0.5753858045910999
2021-01-05,2670526,0.5784834464333992
2021-01-06,2990973,0.5711211721647103
2021-01-07,2939549,0.5661574302282425
2021-01-08,2777327,0.575106058159158
2021-01-09,2829763,0.5783852087510508
2021-01-10,2747847,0.5776446217991759
2021-01-11,1685587,0.5784834660501059
2021-01-12,2772506,0.5757196726196444
2021-01-13,2696166,0.5746385981630953
2021-01-14,2541193,0.5805059863552277
2021-01-15,2531090,0.5820995249908143
2021-01-16,2486126,0.5829407510657143
2021-01-17,2560948,0.5794527041068386
2021-01-18,2352439,0.5764798117677015
2021-01-19,2566082,0.5808713190182543
2021-01-20,1102522,0.5838376782903199
2021-01-21,1599747,0.5813169464509075
2021-01-22,2517594,0.5815702210725796
2021-01-23,2447116,0.5854027159958907
2021-01-24,2609767,0.5810491382062076
2021-01-25,1738679,0.5837819287671847
2021-01-26,2625020,0.5816257597298307
2021-01-27,2530306,0.5770667681450385
2021-01-28,2543980,0.5778491371406221
2021-01-29,2550655,0.5819354655494373
2021-01-30,2546066,0.5834987579846713
2021-01-31,2452901,0.584191711345464
2021-02-01,2453255,0.5797031898632633
2021-02-02,2585883,0.5727502203320877
2021-02-03,2569414,0.5792154237725021
2021-02-04,2522737,0.5841993009635963
2021-02-05,2519664,0.5867218304261996
2021-02-06,2513880,0.5859585685573695
2021-02-07,2779892,0.5806706874292239
2021-02-08,2506476,0.5743693085371653
2021-02-09,2498677,0.5786595651959017
2021-02-10,2477909,0.5840890389558293
2021-02-11,2519303,0.5855322040580272
2021-02-12,2525408,0.5868372167348801
2021-02-13,2514775,0.5854947490570728
2021-02-14,2540474,0.5943775506141767
2021-02-15,2303215,0.5791340400896139
2021-02-16,2478964,0.580197614520824
2021-02-17,2501189,0.5790792989394244
2021-02-18,2427469,0.582088008308654
2021-02-19,2445575,0.5861640159884689
2021-02-20,2419518,0.5873941428726713
2021-02-21,2444581,0.5851454995015506
2021-02-22,2333244,0.5828243854959018
2021-02-23,2419386,0.5846240972746803
2021-02-24,2427887,0.5833226533957305
2021-02-25,2458642,0.5825005395710314
2021-02-26,2494424,0.5827748484219203
2021-02-27,2365380,0.5911684589473997
2021-02-28,2375496,0.5891252084065812
2021-03-01,2336932,0.5867356546270923
2021-03-02,2373194,0.5828124781206256
2021-03-03,2402858,0.5809369109027666
2021-03-04,2361519,0.5838317536860809
2021-03-05,2404085,0.5865232202047764
2021-03-06,2362341,0.5908430723058187
2021-03-07,2383106,0.5873247705297204
2021-03-08,2457955,0.5926044546466473
2021-03-09,2298047,0.5844624981543024
2021-03-10,2387983,0.584086138036996
2021-03-11,2435375,0.5844780096687369
2021-03-12,2414105,0.5868614899998136
2021-03-13,2343632,0.5882369001169979
2021-03-14,2418571,0.5888674856413146
2021-03-15,2356965,0.5846909926125335
2021-03-16,2340490,0.5838305303056197
2021-03-17,2430992,0.5852428732583242
2021-03-18,2391723,0.5843218643994308
2021-03-19,1546579,0.5915183078517166
2021-03-20,2400816,0.5909167335489267
2021-03-21,2363249,0.5899543091582816
2021-03-22,2332789,0.583304226801481
2021-03-23,2342169,0.5830637497789443
2021-03-24,2485548,0.583519771122505
2021-03-25,2469941,0.5859630999797161
2021-03-26,2515386,0.5896363934616795
2021-03-27,2463145,0.5927166196208505
2021-03-28,2211890,0.5932573506942027
2021-03-29,2228830,0.5859492120260406
2021-03-30,2242449,0.5827295242014423
2021-03-31,2260993,0.5856665985936268
2021-04-01,2251238,0.5912186851998766
2021-04-02,2186231,0.592050801878667
2021-04-03,2199203,0.5916739655011384
2021-04-04,2262202,0.598164861651612
2021-04-05,2176944,0.5847203060028187
2021-04-06,2304046,0.5827645501613249
2021-04-07,2309246,0.5834536229327668
2021-04-08,2200911,0.5855509471746018
2021-04-09,2304248,0.5860265046331818
2021-04-10,2290415,0.5926473756441518
2021-04-11,2328198,0.589715010819956
2021-04-12,2177811,0.5862262385312591
2021-04-13,2234375,0.587865617856
2021-04-14,2240879,0.5877462644011568
2021-04-15,2283639,0.5850979001549719
2021-04-16,2241753,0.5877818583430021
2021-04-17,1927891,0.5895014505374008
2021-04-18,2164433,0.5884876927514042
2021-04-19,3573342,0.5829530714876997
2021-04-20,2139865,0.5841659059136909
2021-04-21,2204529,0.5837678112689831
2021-04-22,2124648,0.5880411877496884
2021-04-23,2175095,0.5906141617938526
2021-04-24,2092702,0.5934776887937221
2021-04-25,2122352,0.5885783750791574
2021-04-26,2065281,0.5859171926778971
2021-04-27,2130185,0.5861785149979931
2021-04-28,2182672,0.5828014427046299
2021-04-29,2245211,0.5865024335592512
2021-04-30,2280488,0.5873370834527522
2021-05-01,2220513,0.5958288291615496
2021-05-02,2213420,0.5917336071830018
2021-05-03,2192108,0.5853257757268346
2021-05-04,2288954,0.5844220606888562
2021-05-05,2332421,0.5791835623221536
2021-05-06,2164764,0.5851934289151149
2021-05-07,2135146,0.5906931501339955
2021-05-08,2149495,0.5945086495009293
2021-05-09,2186271,0.5990639079309016
2021-05-10,1996869,0.5891185418066984
2021-05-11,2118381,0.5861769645918274
2021-05-12,2221673,0.5870214475456109
2021-05-13,2218295,0.5935403948005111
2021-05-14,2203783,0.5936180018599835
2021-05-15,2153820,0.5962011509638688
2021-05-16,2205962,0.5893717079183594
2021-05-17,2129334,0.5859251878117759
2021-05-18,2174595,0.5884480755326854
2021-05-19,2191352,0.5902131085083546
2021-05-20,2239835,0.588670630361165
2021-05-21,2180804,0.5931719750078412
2021-05-22,2241882,0.5958090925343082
2021-05-23,2242427,0.5903215422762926
2021-05-24,2061036,0.5890249879550866
2021-05-25,2084855,0.5891760610757103
2021-05-26,2210304,0.5882560514965363
2021-05-27,2103445,0.5904158594491418
2021-05-28,2159015,0.591418523707802
2021-05-29,2181132,0.5935685563606421
