ADMIN,ISO_A3,sentiment_score,tweets_proportion,gdp_pcap_2012_2022,cluster
Aruba,ABW,0.686524968,,28478.73294,
Afghanistan,AFG,0.633676299,0.001302647,534.0148458,2
Angola,AGO,0.657980699,0.001297472,2828.953384,2
Anguilla,AIA,0.780618065,,,
Albania,ALB,0.647080612,0.003080174,5080.650815,3
Aland,ALA,0.566131384,,,
Andorra,AND,0.665952425,,41538.30531,
United Arab Emirates,ARE,0.683774162,,44604.02494,
Argentina,ARG,0.641356752,0.000749754,12118.48026,2
Armenia,ARM,0.735042997,,4494.54922,
American Samoa,ASM,0.576724727,0.000370508,13471.27442,2
Antarctica,ATA,0.656483369,,,
Ashmore and Cartier Islands,-99,0.685189863,,,
French Southern and Antarctic Lands,ATF,,,,
Antigua and Barbuda,ATG,0.70395719,,16066.22368,
Australia,AUS,0.669252898,0.003472215,57999.75865,3
Austria,AUT,0.659997623,0.006926221,49556.54075,3
Azerbaijan,AZE,0.600241465,0.002285055,5621.477556,2
Burundi,BDI,0.716087967,0.001393909,240.0871484,1
Belgium,BEL,0.655922844,0.002160658,46229.72352,3
Benin,BEN,0.698366789,0.005559421,1192.022342,1
Burkina Faso,BFA,0.697948306,0.003617343,764.9348126,1
Bangladesh,BGD,0.807410832,0.026084432,1825.889092,1
Bulgaria,BGR,0.729989632,0.007938275,9411.984135,1
Bahrain,BHR,0.665663158,,25299.82842,
The Bahamas,BHS,0.690372224,,29369.9732,
Bosnia and Herzegovina,BIH,0.662146665,0.002584423,5815.136692,3
Bajo Nuevo Bank (Petrel Is.),-99,0.685189863,,,
Saint Barthelemy,BLM,0.70432555,,,
Belarus,BLR,0.693884248,0.000896865,6826.700527,2
Belize,BLZ,0.66891432,,6108.143567,
Bermuda,BMU,0.705842863,,108626.7488,
Bolivia,BOL,0.672644725,0.001441933,3202.609044,2
Brazil,BRA,0.656356196,0.000340296,9319.514049,2
Barbados,BRB,0.595348297,,17711.05765,
Brunei,BRN,0.699326106,0.00129642,32838.63569,3
Bhutan,BTN,0.732736171,0.005745287,2956.243038,1
Botswana,BWA,0.624894322,0.000341608,6675.776683,2
Central African Republic,CAF,0.638041493,0.001341766,407.1845226,2
Canada,CAN,0.657180119,0.002745732,47822.90781,3
Switzerland,CHE,0.666135998,0.005957272,86333.11874,3
Chile,CHL,0.65690216,0.000872487,14809.19296,3
China,CHN,0.672975452,0.003211021,9538.004787,3
Ivory Coast,CIV,0.69684833,,2211.638114,
Clipperton Island,-99,0.685189863,,,
Cameroon,CMR,0.728108204,0.00097605,1542.374618,1
Cyprus No Mans Area,-99,0.685189863,,,
Democratic Republic of the Congo,COD,0.702670182,0.001801566,511.6747766,1
Republic of Congo,COG,0.65293126,0.00062527,2512.676248,2
Cook Islands,COK,0.74658819,,,
Colombia,COL,0.675704254,0.000906403,6638.182449,2
Comoros,COM,0.592756353,,1492.355261,
Cape Verde,CPV,0.684540543,,3598.598382,
Costa Rica,CRI,0.661696199,0.001068085,11988.66745,3
Coral Sea Islands,-99,0.685189863,,,
Cuba,CUB,0.714913049,0.006795569,8210.7116,1
Curaçao,CUW,0.691710229,,18672.67125,
Cayman Islands,CYM,0.756102263,,81906.27181,
Northern Cyprus,-99,0.685189863,,,
Cyprus,CYP,0.684805401,,27965.04981,
Czech Republic,CZE,0.61463876,0.003390714,22160.83145,3
Germany,DEU,0.632939009,0.006810015,46335.656,3
Djibouti,DJI,0.654402641,0.000771292,2668.839389,2
Dominica,DMA,0.651774474,,7757.571844,
Denmark,DNK,0.664169001,0.001978006,60636.0354,3
Dominican Republic,DOM,0.635692455,0.001233509,7613.419021,2
Algeria,DZA,0.666026715,0.001743959,4285.773337,2
Ecuador,ECU,0.675624803,0.001004112,6143.728797,2
Egypt,EGY,0.655638895,0.000603231,3272.985972,2
Eritrea,ERI,0.5609495,0.000603209,,
Dhekelia Sovereign Base Area,-99,0.685189863,,,
Spain,ESP,0.667594729,0.001551769,28544.22725,3
Estonia,EST,0.689927136,0.006629488,22191.41228,3
Ethiopia,ETH,0.660683557,0.002164818,760.999591,2
Finland,FIN,0.646096223,0.001604778,48506.1115,3
Fiji,FJI,0.675943026,0.00053257,5305.985914,2
Falkland Islands,FLK,0.494551667,,,
France,FRA,0.640241497,0.001799391,40389.86245,3
Faroe Islands,FRO,0.6330075,0.001082007,60169.40227,3
Federated States of Micronesia,FSM,0.705266111,,3335.769844,
Gabon,GAB,0.702188763,0.003391654,7864.879268,1
United Kingdom,GBR,0.660767351,0.001373609,43654.46511,3
Georgia,GEO,0.697710087,0.012335093,4712.12477,1
Guernsey,GGY,0.634450592,,,
Ghana,GHA,0.672044986,0.001059686,2094.698976,2
