,ADMIN,date,tweets_num,score
0,Afghanistan,2020-08-31,1,0.907395
1,Afghanistan,2021-02-28,8,0.6419185000000001
2,Afghanistan,2021-04-30,1,0.844843
3,Afghanistan,2021-05-31,7,0.4922054285714286
4,Afghanistan,2021-06-30,3,0.48945
5,Afghanistan,2021-08-31,1,0.61994
6,Afghanistan,2021-09-30,2,0.797853
7,Afghanistan,2021-11-30,2,0.6714905
8,Afghanistan,2021-12-31,1,0.933496
9,Afghanistan,2022-01-31,6,0.70725
10,Afghanistan,2022-04-30,1,0.654713
11,Afghanistan,2022-07-31,1,0.843308
12,Afghanistan,2022-09-30,3,0.607427
13,Afghanistan,2022-10-31,4,0.638332
14,Afghanistan,2022-11-30,18,0.5579323888888889
15,Afghanistan,2023-03-31,1,0.964314
16,Afghanistan,2023-04-30,1,0.857408
17,Albania,2020-02-29,1,0.729891
18,Albania,2020-03-31,1,0.525095
19,Albania,2021-04-30,3,0.783287
20,Albania,2021-05-31,5,0.3772416
21,Albania,2021-06-30,1,0.63923
22,Albania,2021-08-31,4,0.63256475
23,Albania,2022-03-31,1,0.703528
24,Albania,2022-06-30,1,0.79331
25,Albania,2022-09-30,4,0.27057575
26,Albania,2023-04-30,2,0.641649
27,Algeria,2018-12-31,1,0.864151
28,Algeria,2020-08-31,2,0.532435
29,Algeria,2020-09-30,1,0.532435
30,Algeria,2020-10-31,7,0.5324344285714285
31,Algeria,2021-01-31,4,0.6768875
32,Algeria,2021-02-28,29,0.4290747241379311
33,Algeria,2021-04-30,2,0.37846100000000005
34,Algeria,2021-05-31,3,0.6486133333333334
35,Algeria,2021-06-30,2,0.6392450000000001
36,Algeria,2021-07-31,57,0.6681255964912282
37,Algeria,2021-08-31,3,0.6213346666666667
38,Algeria,2021-11-30,2,0.6144700000000001
39,Algeria,2021-12-31,3,0.8383926666666667
40,Algeria,2022-01-31,6,0.7194158333333333
41,Algeria,2022-02-28,1,0.889315
42,Algeria,2022-03-31,3,0.6407343333333334
43,Algeria,2022-08-31,2,0.8325940000000001
44,Algeria,2022-09-30,61,0.7301902131147542
45,Algeria,2022-10-31,15,0.6284911999999999
46,Algeria,2022-11-30,5,0.7570368000000001
47,Algeria,2023-01-31,1,0.672275
48,Algeria,2023-02-28,3,0.271495
49,Algeria,2023-03-31,2,0.7720845000000001
50,Algeria,2023-04-30,3,0.7465999999999999
51,Algeria,2023-05-31,1,0.560318
52,Andorra,2022-03-31,1,0.947436
53,Andorra,2022-04-30,2,0.9474404999999999
54,Andorra,2022-12-31,1,0.427086
55,Angola,2021-01-31,1,0.412129
56,Angola,2021-02-28,1,0.290735
57,Angola,2021-09-30,1,0.793257
58,Angola,2021-10-31,1,0.11716
59,Angola,2022-04-30,1,0.835046
60,Angola,2022-05-31,1,0.662137
61,Angola,2022-06-30,1,0.465086
62,Angola,2022-07-31,1,0.845418
63,Angola,2022-09-30,1,0.625975
64,Angola,2022-10-31,2,0.609147
65,Angola,2022-11-30,2,0.7050365000000001
66,Angola,2022-12-31,1,0.692403
67,Angola,2023-02-28,6,0.6129205
68,Antarctica,2013-12-31,3,0.690785
