,ADMIN,date,tweets_num,score
0,Afghanistan,2015-12-31,1,0.759309
1,Afghanistan,2018-09-30,1,0.692672
2,Afghanistan,2018-12-31,1,0.681387
3,Afghanistan,2019-05-31,1,0.140982
4,Afghanistan,2021-05-31,3,0.6876343333333333
5,Afghanistan,2021-07-31,1,0.441778
6,Afghanistan,2021-08-31,7,0.5722244285714285
7,Afghanistan,2021-11-30,1,0.59547
8,Afghanistan,2021-12-31,1,0.639307
9,Afghanistan,2022-03-31,11,0.6118039090909091
10,Afghanistan,2022-04-30,8,0.70605825
11,Afghanistan,2022-05-31,3,0.7034963333333333
12,Afghanistan,2022-06-30,4,0.653339
13,Afghanistan,2022-11-30,2,0.532285
14,Afghanistan,2022-12-31,1,0.908416
15,Afghanistan,2023-01-31,1,0.561526
16,Afghanistan,2023-02-28,3,0.5415136666666667
17,Afghanistan,2023-06-30,2,0.6066905
18,Albania,2013-05-31,1,0.605994
19,Albania,2014-10-31,1,0.792257
20,Albania,2014-11-30,1,0.862685
21,Albania,2015-03-31,1,0.827303
22,Albania,2015-11-30,1,0.656498
23,Albania,2015-12-31,1,0.671278
24,Albania,2016-02-29,1,0.046889
25,Albania,2016-09-30,2,0.8301765
26,Albania,2017-03-31,1,0.63981
27,Albania,2017-07-31,1,0.618116
28,Albania,2017-11-30,2,0.6082515
29,Albania,2018-02-28,1,0.736515
30,Albania,2018-09-30,1,0.39181
31,Albania,2019-01-31,1,0.969079
32,Albania,2019-02-28,1,0.681743
33,Albania,2019-03-31,1,0.941056
34,Albania,2019-04-30,1,0.597206
35,Albania,2019-05-31,8,0.7559265
36,Albania,2019-06-30,1,0.928294
37,Albania,2019-09-30,1,0.621865
38,Albania,2020-02-29,1,0.852327
39,Albania,2020-05-31,1,0.699413
40,Albania,2020-11-30,1,0.53272
41,Albania,2020-12-31,1,0.647977
42,Albania,2021-03-31,2,0.888737
43,Albania,2021-05-31,8,0.58931375
44,Albania,2021-06-30,1,0.418369
45,Albania,2021-07-31,3,0.6569326666666666
46,Albania,2021-08-31,5,0.7227387999999999
47,Albania,2021-09-30,2,0.5998515
48,Albania,2021-10-31,1,0.648368
49,Albania,2021-11-30,3,0.6356233333333333
50,Albania,2021-12-31,24,0.6779169583333333
51,Albania,2022-01-31,1,0.584634
52,Albania,2022-02-28,1,0.431947
53,Albania,2022-03-31,1,0.817699
54,Albania,2022-05-31,1,0.782721
55,Albania,2022-06-30,7,0.6464544285714285
56,Albania,2022-07-31,2,0.7130285000000001
57,Albania,2022-08-31,29,0.7045954482758622
58,Albania,2022-09-30,23,0.5761822608695653
59,Albania,2022-10-31,4,0.646035
60,Albania,2022-12-31,1,0.681282
61,Albania,2023-01-31,2,0.8462635000000001
62,Albania,2023-02-28,1,0.413894
63,Algeria,2013-11-30,1,0.512499
64,Algeria,2014-10-31,1,0.737836
65,Algeria,2016-03-31,1,0.457891
66,Algeria,2017-12-31,1,0.799501
67,Algeria,2018-08-31,1,0.638538
