,ADMIN,date,tweets_num,score
0,Afghanistan,2022-03-18,1,0.597806
1,Afghanistan,2022-06-15,1,0.982308
2,Albania,2019-01-04,1,0.767464
3,Albania,2020-02-13,1,0.852327
4,Albania,2022-06-21,1,0.655634
5,Albania,2022-08-25,1,0.557356
6,Algeria,2018-12-03,3,0.9111843333333334
7,Algeria,2018-12-14,1,0.761512
8,Algeria,2020-05-11,2,0.5768975000000001
9,Algeria,2021-01-27,1,0.845997
10,Algeria,2022-01-01,1,0.795748
11,Algeria,2022-01-16,1,0.838244
12,Algeria,2022-02-22,1,0.895774
13,Algeria,2022-10-07,1,0.562385
14,Angola,2020-12-04,4,0.5971235
15,Angola,2020-12-05,2,0.7037899999999999
16,Angola,2020-12-10,3,0.5750913333333334
17,Angola,2020-12-13,1,0.54752
18,Angola,2020-12-20,1,0.721341
19,Angola,2020-12-23,1,0.274738
20,Angola,2020-12-24,2,0.679656
21,Angola,2020-12-25,1,0.728079
22,Angola,2021-01-05,2,0.5577795
23,Angola,2021-01-12,3,0.7323906666666667
24,Angola,2021-01-21,1,0.365233
25,Angola,2021-01-22,1,0.290751
26,Angola,2021-02-04,2,0.7321584999999999
27,Angola,2021-02-13,1,0.526057
28,Angola,2021-02-15,1,0.730821
29,Angola,2021-02-19,1,0.795707
30,Angola,2021-02-21,1,0.191513
31,Angola,2021-02-24,2,0.36352
32,Angola,2021-03-03,1,0.098357
33,Angola,2021-03-06,2,0.7062269999999999
34,Angola,2021-03-10,2,0.40104000000000006
35,Angola,2021-03-12,1,0.795519
36,Angola,2021-03-14,1,0.393399
37,Angola,2021-03-15,1,0.402336
38,Angola,2021-03-16,1,0.126914
39,Angola,2021-03-17,1,0.465409
40,Angola,2021-03-20,1,0.475878
41,Angola,2022-05-29,1,0.595008
42,Antarctica,2019-08-27,1,0.635541
43,Argentina,2013-07-19,1,0.892907
44,Argentina,2013-07-21,1,0.795024
45,Argentina,2013-10-01,1,0.72284
46,Argentina,2013-10-02,1,0.897278
47,Argentina,2014-10-16,1,0.792682
48,Argentina,2014-10-21,3,0.5393273333333334
49,Argentina,2014-10-31,1,0.698192
50,Argentina,2014-11-05,1,0.82446
51,Argentina,2014-11-13,1,0.570226
52,Argentina,2014-11-23,1,0.964028
53,Argentina,2014-12-07,1,0.751044
54,Argentina,2015-01-06,1,0.894619
55,Argentina,2015-01-16,1,0.644192
56,Argentina,2015-03-12,2,0.679206
57,Argentina,2015-03-14,1,0.956644
58,Argentina,2015-03-31,1,0.854952
59,Argentina,2015-04-03,2,0.891427
60,Argentina,2015-04-04,1,0.9213
61,Argentina,2015-04-07,1,0.621701
62,Argentina,2015-05-03,1,0.827401
63,Argentina,2015-05-10,1,0.754788
64,Argentina,2015-05-14,1,0.533058
65,Argentina,2015-05-17,1,0.570517
66,Argentina,2015-05-23,1,0.66932
67,Argentina,2015-08-02,1,0.875376
68,Argentina,2015-09-27,1,0.720137
69,Argentina,2015-10-03,1,0.640312
70,Argentina,2015-12-10,1,0.492638
71,Argentina,2015-12-28,2,0.8068850000000001
72,Argentina,2015-12-29,1,0.897337
73,Argentina,2016-03-28,1,0.644013
74,Argentina,2017-05-29,1,0.276743
75,Argentina,2018-08-09,1,0.625348
76,Argentina,2018-08-11,2,0.9145205
77,Argentina,2018-09-04,1,0.556674
78,Argentina,2018-09-12,1,0.724685
79,Argentina,2018-09-16,1,0.69485
80,Argentina,2019-01-29,1,0.764592
