,ADMIN,date,tweets_num,score
0,Afghanistan,2013-12-10,1,0.989651
1,Afghanistan,2014-01-14,1,0.540444
2,Afghanistan,2016-08-30,1,0.582979
3,Afghanistan,2016-11-15,1,0.491533
4,Afghanistan,2019-04-13,1,0.75385
5,Afghanistan,2020-01-03,1,0.723182
6,Afghanistan,2020-05-02,1,0.08833
7,Afghanistan,2021-10-08,1,0.044982
8,Afghanistan,2021-12-14,11,0.631416
9,Afghanistan,2022-02-10,1,0.527081
10,Afghanistan,2022-04-10,1,0.654713
11,Afghanistan,2022-05-11,2,0.6258539999999999
12,Afghanistan,2022-05-27,1,0.551836
13,Afghanistan,2022-05-30,1,0.450867
14,Afghanistan,2022-09-22,1,0.580506
15,Afghanistan,2022-11-29,1,0.814744
16,Afghanistan,2022-12-02,1,0.609819
17,Afghanistan,2022-12-05,1,0.65752
18,Afghanistan,2022-12-14,1,0.150631
19,Afghanistan,2022-12-16,1,0.837594
20,Afghanistan,2022-12-17,1,0.706318
21,Afghanistan,2023-01-29,3,0.8440493333333334
22,Afghanistan,2023-01-30,3,0.905768
23,Afghanistan,2023-01-31,1,0.905768
24,Afghanistan,2023-03-22,4,0.747198
25,Albania,2015-07-26,1,0.774736
26,Albania,2017-04-19,1,0.438418
27,Albania,2017-08-29,1,0.878407
28,Albania,2017-10-19,1,0.37287
29,Albania,2018-07-05,1,0.073738
30,Albania,2019-04-13,1,0.575413
31,Albania,2020-01-19,1,0.648155
32,Albania,2020-04-13,1,0.639314
33,Albania,2020-07-25,1,0.691415
34,Albania,2020-12-13,1,0.544503
35,Albania,2021-02-28,1,0.70911
36,Albania,2021-04-06,1,0.679011
37,Albania,2021-11-03,1,0.18509
38,Albania,2022-06-11,1,0.759121
39,Albania,2022-07-13,1,0.524954
40,Albania,2022-09-02,1,0.818409
41,Albania,2022-09-20,1,0.656969
42,Albania,2022-11-14,2,0.572119
43,Albania,2022-11-21,1,0.602332
44,Algeria,2013-02-04,1,0.742236
45,Algeria,2013-06-25,2,0.731117
46,Algeria,2013-06-26,1,0.474455
47,Algeria,2013-06-28,1,0.831428
48,Algeria,2013-06-30,1,0.543196
49,Algeria,2013-07-05,1,0.486051
50,Algeria,2013-07-06,1,0.44763
51,Algeria,2013-07-08,1,0.562123
