,ADMIN,date,tweets_num,score
0,Afghanistan,2013-12-31,1,0.989651
1,Afghanistan,2014-01-31,1,0.540444
2,Afghanistan,2016-08-31,1,0.582979
3,Afghanistan,2016-11-30,1,0.491533
4,Afghanistan,2019-04-30,1,0.75385
5,Afghanistan,2020-01-31,1,0.723182
6,Afghanistan,2020-05-31,1,0.08833
7,Afghanistan,2021-10-31,1,0.044982
8,Afghanistan,2021-12-31,11,0.631416
9,Afghanistan,2022-02-28,1,0.527081
10,Afghanistan,2022-04-30,1,0.654713
11,Afghanistan,2022-05-31,4,0.56360275
12,Afghanistan,2022-09-30,1,0.580506
13,Afghanistan,2022-11-30,1,0.814744
14,Afghanistan,2022-12-31,5,0.5923764
15,Afghanistan,2023-01-31,7,0.8793171428571428
16,Afghanistan,2023-03-31,4,0.747198
17,Albania,2015-07-31,1,0.774736
18,Albania,2017-04-30,1,0.438418
19,Albania,2017-08-31,1,0.878407
20,Albania,2017-10-31,1,0.37287
21,Albania,2018-07-31,1,0.073738
22,Albania,2019-04-30,1,0.575413
23,Albania,2020-01-31,1,0.648155
24,Albania,2020-04-30,1,0.639314
25,Albania,2020-07-31,1,0.691415
26,Albania,2020-12-31,1,0.544503
27,Albania,2021-02-28,1,0.70911
28,Albania,2021-04-30,1,0.679011
29,Albania,2021-11-30,1,0.18509
30,Albania,2022-06-30,1,0.759121
31,Albania,2022-07-31,1,0.524954
32,Albania,2022-09-30,2,0.737689
33,Albania,2022-11-30,3,0.58219
34,Algeria,2013-02-28,1,0.742236
35,Algeria,2013-06-30,5,0.6622626
36,Algeria,2013-07-31,4,0.47549025
37,Algeria,2013-12-31,1,0.837801
38,Algeria,2014-12-31,1,
39,Algeria,2018-12-31,2,0.8800245
40,Algeria,2019-01-31,1,0.779674
41,Algeria,2019-03-31,1,0.681781
42,Algeria,2019-04-30,2,0.56949
43,Algeria,2019-07-31,1,0.571564
44,Algeria,2019-12-31,1,0.524159
45,Algeria,2020-05-31,1,0.972875
46,Algeria,2020-06-30,1,0.761709
47,Algeria,2020-09-30,2,0.728077
48,Algeria,2021-01-31,1,0.663187
49,Algeria,2021-03-31,1,0.918498
50,Algeria,2021-04-30,16,0.6802088125
51,Algeria,2021-06-30,15,0.6409975333333333
52,Algeria,2021-08-31,2,0.7000625
53,Algeria,2021-09-30,2,0.840036
54,Algeria,2021-12-31,4,0.71153825
55,Algeria,2022-01-31,9,0.751467
56,Algeria,2022-02-28,7,0.5763068571428571
57,Algeria,2022-03-31,2,0.8884799999999999
58,Algeria,2022-04-30,3,0.7149213333333333
59,Algeria,2022-06-30,5,0.796584
60,Algeria,2022-07-31,3,0.6963883333333333
61,Algeria,2022-08-31,19,0.6681276315789474
62,Algeria,2022-09-30,24,0.723013
63,Algeria,2022-10-31,5,0.6640342
64,Algeria,2022-11-30,10,0.6950607
65,Algeria,2022-12-31,3,0.7171420000000001
66,Algeria,2023-01-31,3,0.6661546666666667
67,Algeria,2023-02-28,25,0.60308728
68,Algeria,2023-03-31,1,0.499193
69,Algeria,2023-04-30,4,0.910371
70,Algeria,2023-05-31,54,0.8532965740740741
71,Andorra,2017-08-31,1,0.569491
72,Andorra,2019-11-30,1,0.459778
73,Andorra,2019-12-31,1,0.563978
74,Andorra,2022-05-31,1,0.712651
75,Andorra,2022-06-30,1,0.733053
76,Andorra,2022-08-31,8,0.55110225
77,Andorra,2022-09-30,10,0.6066640999999999
78,Andorra,2022-11-30,2,0.4360855
79,Angola,2013-02-28,1,0.814529
80,Angola,2020-12-31,15,0.6101558666666667
81,Angola,2021-01-31,7,0.5669592857142857
82,Angola,2021-02-28,7,0.5292334285714285
83,Angola,2021-03-31,11,0.4520314545454545
84,Angola,2022-06-30,2,0.8104480000000001
85,Angola,2022-07-31,1,0.720722
86,Angola,2022-08-31,1,0.541097
87,Angola,2022-09-30,1,0.625975
88,Angola,2023-02-28,2,0.8150565000000001
89,Angola,2023-03-31,1,0.446919
90,Anguilla,2015-09-30,1,0.357853
91,Antarctica,2019-09-30,1,0.672682
92,Antigua and Barbuda,2013-02-28,1,0.701375
93,Antigua and Barbuda,2013-05-31,1,0.954564
94,Antigua and Barbuda,2013-06-30,1,0.321907
95,Antigua and Barbuda,2013-07-31,1,0.451442
96,Argentina,2013-02-28,12,0.6046436363636364
97,Argentina,2013-03-31,3,0.7373526666666667
98,Argentina,2013-04-30,5,0.5990318
99,Argentina,2013-05-31,9,0.5166109999999999
100,Argentina,2013-06-30,4,0.7088885
101,Argentina,2013-07-31,7,0.8449148571428571
102,Argentina,2013-10-31,9,0.5084296666666667
103,Argentina,2013-11-30,1,0.715999
104,Argentina,2013-12-31,3,0.7977663333333332
105,Argentina,2014-01-31,4,0.61614075
106,Argentina,2014-03-31,3,0.5796223333333334
107,Argentina,2014-04-30,3,0.8138496666666667
108,Argentina,2014-10-31,10,0.6654832222222222
109,Argentina,2014-11-30,14,0.667935
110,Argentina,2014-12-31,20,0.6683908
111,Argentina,2015-01-31,5,0.519885
112,Argentina,2015-02-28,8,0.5864425
113,Argentina,2015-03-31,11,0.6586621818181818
114,Argentina,2015-04-30,11,0.5792552727272727
115,Argentina,2015-05-31,4,0.6292267500000001
116,Argentina,2015-06-30,1,0.678366
117,Argentina,2015-07-31,4,0.6403755
118,Argentina,2015-09-30,4,0.67949
119,Argentina,2015-10-31,4,0.518532
120,Argentina,2015-11-30,2,0.658845
121,Argentina,2015-12-31,4,0.6170625000000001
122,Argentina,2016-01-31,1,0.618473
123,Argentina,2016-02-29,4,0.5233697500000001
124,Argentina,2016-03-31,2,0.6177269999999999
125,Argentina,2016-04-30,2,0.659744
126,Argentina,2016-05-31,1,0.726738
127,Argentina,2016-06-30,1,0.414283
128,Argentina,2016-07-31,3,0.631329
129,Argentina,2016-09-30,2,0.531954
130,Argentina,2016-10-31,1,0.69694
131,Argentina,2016-11-30,2,0.47873
132,Argentina,2016-12-31,1,0.855982
133,Argentina,2017-01-31,3,0.7411703333333333
134,Argentina,2017-02-28,4,0.72609625
135,Argentina,2017-04-30,2,0.6781615
136,Argentina,2017-05-31,2,0.399539
137,Argentina,2017-06-30,3,0.536889
138,Argentina,2017-07-31,3,0.6041913333333333
139,Argentina,2017-08-31,5,0.6522694
140,Argentina,2017-10-31,2,0.55826
141,Argentina,2018-01-31,3,0.543374
142,Argentina,2018-03-31,3,0.6483656666666667
143,Argentina,2018-04-30,6,0.4983768333333333
144,Argentina,2018-05-31,2,0.42593349999999996
145,Argentina,2018-06-30,2,0.7459929999999999
146,Argentina,2018-07-31,10,0.5694345000000001
147,Argentina,2018-08-31,12,0.5848220833333334
148,Argentina,2018-09-30,9,0.6120490000000001
149,Argentina,2018-10-31,1,0.85035
150,Argentina,2018-12-31,7,0.6008672857142857
151,Argentina,2019-01-31,10,0.6807707
152,Argentina,2019-02-28,6,0.6610965
153,Argentina,2019-03-31,5,0.728476
154,Argentina,2019-04-30,9,0.6434795555555556
155,Argentina,2019-05-31,14,0.4846701428571429
156,Argentina,2019-06-30,2,0.5340425
157,Argentina,2019-07-31,9,0.5614286666666666
158,Argentina,2019-08-31,7,0.5085587142857143
159,Argentina,2019-09-30,6,0.643584
160,Argentina,2019-10-31,4,0.54425575
161,Argentina,2019-11-30,8,0.67491475
162,Argentina,2019-12-31,7,0.8073117142857144
163,Argentina,2020-01-31,16,0.637270125
164,Argentina,2020-02-29,8,0.55558425
165,Argentina,2020-03-31,15,0.5621629333333333
166,Argentina,2020-04-30,15,0.5682914
167,Argentina,2020-05-31,6,0.6137805999999999
168,Argentina,2020-06-30,75,0.6233994054054055
169,Argentina,2020-07-31,465,0.5953172623655913
170,Argentina,2020-08-31,620,0.5802045338709677
171,Argentina,2020-09-30,323,0.5746752786377709
172,Argentina,2020-10-31,388,0.5557909922680413
173,Argentina,2020-11-30,165,0.5773283757575758
174,Argentina,2020-12-31,392,0.5811913647959184
175,Argentina,2021-01-31,277,0.5657844548736463
176,Argentina,2021-02-28,78,0.5844499358974359
177,Argentina,2021-03-31,301,0.5806774850498339
178,Argentina,2021-04-30,392,0.561878137755102
179,Argentina,2021-05-31,442,0.5780460723981901
180,Argentina,2021-06-30,297,0.5797868686868687
181,Argentina,2021-07-31,335,0.5697476746268656
182,Argentina,2021-08-31,223,0.5910858565022422
183,Argentina,2021-09-30,37,0.6672947567567568
184,Argentina,2021-10-31,36,0.6277611666666667
185,Argentina,2021-11-30,66,0.6558266515151515
186,Argentina,2021-12-31,51,0.6566375999999999
187,Argentina,2022-01-31,68,0.6738754411764706
188,Argentina,2022-02-28,81,0.6648973703703703
189,Argentina,2022-03-31,86,0.6185279882352942
190,Argentina,2022-04-30,49,0.6692427346938775
191,Argentina,2022-05-31,96,0.6113826354166666
192,Argentina,2022-06-30,45,0.6007819318181817
193,Argentina,2022-07-31,103,0.5916429223300971
194,Argentina,2022-08-31,101,0.505789198019802
195,Argentina,2022-09-30,234,0.560718170940171
196,Argentina,2022-10-31,109,0.6311612752293577
197,Argentina,2022-11-30,114,0.6169754210526316
198,Argentina,2022-12-31,81,0.6176728148148148
199,Argentina,2023-01-31,139,0.6189252086330935
200,Argentina,2023-02-28,42,0.5732440714285714
201,Argentina,2023-03-31,75,0.607016945945946
202,Argentina,2023-04-30,40,0.6719734102564103
203,Argentina,2023-05-31,49,0.7381176734693877
204,Argentina,2023-06-30,6,0.7355473333333333
205,Armenia,2016-05-31,1,0.584161
206,Armenia,2016-06-30,1,0.470566
207,Armenia,2019-07-31,1,0.631111
208,Armenia,2020-06-30,1,0.663524
209,Armenia,2020-07-31,1,0.642295
210,Armenia,2020-12-31,3,0.7171776666666667
211,Armenia,2021-01-31,1,0.698988
212,Armenia,2021-02-28,2,0.7216834999999999
213,Armenia,2021-03-31,11,0.7196560000000001
214,Armenia,2021-04-30,5,0.6683104
215,Armenia,2021-06-30,1,0.714803
216,Armenia,2021-08-31,1,0.6058
217,Armenia,2021-09-30,1,0.579697
218,Armenia,2022-06-30,1,0.627619
219,Armenia,2022-07-31,3,0.558171
220,Armenia,2023-06-30,4,0.289845
221,Aruba,2013-02-28,2,0.593966
222,Aruba,2018-07-31,1,0.873532
223,Aruba,2019-11-30,2,0.795868
224,Aruba,2020-06-30,1,0.744347
225,Aruba,2020-09-30,1,0.725323
226,Aruba,2021-04-30,1,0.743658
227,Aruba,2021-06-30,1,0.762579
228,Aruba,2022-11-30,2,0.399281
229,Australia,2012-05-31,2,0.635751
230,Australia,2013-01-31,15,0.7014442
231,Australia,2013-02-28,12,0.4429556666666667
232,Australia,2013-03-31,10,0.6140063
233,Australia,2013-04-30,2,0.5465965
234,Australia,2013-05-31,21,0.5493885714285714
235,Australia,2013-06-30,13,0.49738853846153847
236,Australia,2013-07-31,9,0.4893683333333334
237,Australia,2013-09-30,4,0.611899
238,Australia,2013-10-31,21,0.4889002380952381
239,Australia,2013-11-30,8,0.562239625
240,Australia,2013-12-31,14,0.34436485714285714
241,Australia,2014-01-31,9,0.4475103333333333
242,Australia,2014-02-28,10,0.45858299999999996
243,Australia,2014-03-31,18,0.7023024999999999
244,Australia,2014-04-30,8,0.7212265
245,Australia,2014-10-31,15,0.5697493333333333
246,Australia,2014-11-30,16,0.6285189999999999
247,Australia,2014-12-31,17,0.6817246470588235
248,Australia,2015-01-31,18,0.6598991666666667
249,Australia,2015-02-28,14,0.7161817142857142
250,Australia,2015-03-31,17,0.6044329411764705
251,Australia,2015-04-30,8,0.622702
252,Australia,2015-05-31,4,0.43133225000000003
253,Australia,2015-06-30,5,0.6518066
254,Australia,2015-07-31,2,0.6330104999999999
255,Australia,2015-08-31,5,0.8109396
256,Australia,2015-09-30,7,0.6545477142857142
257,Australia,2015-10-31,4,0.5924275
258,Australia,2015-11-30,3,0.4076943333333333
259,Australia,2015-12-31,7,0.7340295714285714
260,Australia,2016-01-31,2,0.671913
261,Australia,2016-02-29,3,0.873223
262,Australia,2016-03-31,4,0.791331
263,Australia,2016-05-31,1,0.22965
264,Australia,2016-06-30,3,0.7178403333333333
265,Australia,2016-07-31,1,0.76416
266,Australia,2016-10-31,2,0.8115465
267,Australia,2016-11-30,3,0.821389
268,Australia,2016-12-31,3,0.8271856666666667
269,Australia,2017-01-31,3,0.5530616666666667
270,Australia,2017-02-28,7,0.6049794285714285
271,Australia,2017-03-31,4,0.644541
272,Australia,2017-04-30,4,0.83693825
273,Australia,2017-05-31,3,0.7055579999999999
274,Australia,2017-06-30,6,0.8355681666666667
275,Australia,2017-07-31,3,0.6846106666666666
276,Australia,2017-08-31,8,0.665507375
277,Australia,2017-09-30,2,0.5345154999999999
278,Australia,2017-10-31,3,0.5992636666666666
279,Australia,2018-01-31,6,0.6676574999999999
280,Australia,2018-02-28,6,0.43438366666666667
281,Australia,2018-03-31,4,0.67332625
282,Australia,2018-04-30,4,0.32049150000000004
283,Australia,2018-05-31,3,0.4740363333333333
284,Australia,2018-06-30,9,0.6983145555555557
285,Australia,2018-07-31,22,0.578913
286,Australia,2018-08-31,31,0.6488122580645161
287,Australia,2018-09-30,16,0.44683675
288,Australia,2018-10-31,5,0.6959099999999999
289,Australia,2018-11-30,2,0.3964645
290,Australia,2018-12-31,22,0.5819176363636364
291,Australia,2019-01-31,15,0.6466189999999999
292,Australia,2019-02-28,31,0.568119935483871
293,Australia,2019-03-31,30,0.5909421333333333
294,Australia,2019-04-30,30,0.5500873666666667
295,Australia,2019-05-31,30,0.47018323333333334
296,Australia,2019-06-30,9,0.6076191111111111
297,Australia,2019-07-31,25,0.5437534
298,Australia,2019-08-31,17,0.49530588235294115
299,Australia,2019-09-30,13,0.6572336153846153
300,Australia,2019-10-31,18,0.6530629444444445
301,Australia,2019-11-30,17,0.507776588235294
302,Australia,2019-12-31,10,0.553713
303,Australia,2020-01-31,21,0.5478935714285714
304,Australia,2020-02-29,19,0.477727052631579
305,Australia,2020-03-31,20,0.5320369
306,Australia,2020-04-30,21,0.500138
307,Australia,2020-05-31,25,0.6807776799999999
308,Australia,2020-06-30,15,0.6578722
309,Australia,2020-07-31,15,0.4960416666666667
310,Australia,2020-08-31,20,0.6611887000000001
311,Australia,2020-09-30,12,0.5152498181818181
312,Australia,2020-10-31,13,0.5557052307692307
313,Australia,2020-11-30,8,0.5260057499999999
314,Australia,2020-12-31,16,0.4716198125
315,Australia,2021-01-31,21,0.5528338095238096
316,Australia,2021-02-28,32,0.60889740625
317,Australia,2021-03-31,19,0.5814623157894737
318,Australia,2021-04-30,40,0.4783094
319,Australia,2021-05-31,32,0.5348994375
320,Australia,2021-06-30,28,0.6494141071428572
321,Australia,2021-07-31,26,0.5722660384615385
322,Australia,2021-08-31,25,0.53635288
323,Australia,2021-09-30,25,0.62310784
324,Australia,2021-10-31,28,0.51156775
325,Australia,2021-11-30,19,0.5584254210526316
326,Australia,2021-12-31,23,0.6756798571428572
327,Australia,2022-01-31,28,0.5689703333333334
328,Australia,2022-02-28,15,0.6570890666666667
329,Australia,2022-03-31,14,0.6537529285714285
330,Australia,2022-04-30,40,0.627825275
331,Australia,2022-05-31,54,0.46749157407407405
332,Australia,2022-06-30,23,0.5628898260869566
333,Australia,2022-07-31,20,0.6189697
334,Australia,2022-08-31,108,0.5911098055555556
335,Australia,2022-09-30,36,0.6941026666666666
336,Australia,2022-10-31,19,0.7024995789473685
337,Australia,2022-11-30,72,0.5755055833333333
338,Australia,2022-12-31,64,0.563229875
339,Australia,2023-01-31,54,0.6770158888888889
340,Australia,2023-02-28,35,0.6455
341,Australia,2023-03-31,30,0.6250768333333333
342,Australia,2023-04-30,6,0.7647556666666667
343,Australia,2023-05-31,14,0.6838761428571428
344,Australia,2023-06-30,7,0.6168308333333333
345,Austria,2013-05-31,1,0.708055
346,Austria,2013-06-30,1,0.958542
347,Austria,2013-10-31,1,0.567598
348,Austria,2013-12-31,1,0.78633
349,Austria,2014-01-31,1,0.881899
350,Austria,2014-02-28,2,0.649497
351,Austria,2014-03-31,3,0.42612333333333335
352,Austria,2014-10-31,2,0.86765
353,Austria,2015-03-31,2,0.590465
354,Austria,2015-04-30,1,0.699165
355,Austria,2015-05-31,1,0.841511
356,Austria,2015-07-31,1,0.347672
357,Austria,2015-09-30,2,0.5172075
358,Austria,2015-12-31,1,0.678398
359,Austria,2016-03-31,1,0.33784
360,Austria,2016-06-30,1,0.550282
361,Austria,2016-07-31,1,0.862956
362,Austria,2016-09-30,2,0.6778765
363,Austria,2016-11-30,1,0.625438
364,Austria,2017-08-31,1,0.841227
365,Austria,2018-05-31,1,0.173235
366,Austria,2018-07-31,9,0.4866297777777778
367,Austria,2018-08-31,1,0.936427
368,Austria,2018-12-31,1,0.723821
369,Austria,2019-01-31,3,0.637219
370,Austria,2019-03-31,2,0.6028709999999999
371,Austria,2019-04-30,4,0.52562525
372,Austria,2019-07-31,1,0.384398
373,Austria,2019-09-30,3,0.5909866666666667
374,Austria,2019-10-31,2,0.49348800000000004
375,Austria,2019-12-31,1,0.523643
376,Austria,2020-01-31,2,0.48538549999999997
377,Austria,2020-02-29,1,0.432824
378,Austria,2020-03-31,1,0.745098
379,Austria,2020-04-30,2,0.64177
380,Austria,2020-05-31,1,0.705804
381,Austria,2020-06-30,1,0.428648
382,Austria,2020-07-31,1,0.808664
383,Austria,2020-09-30,3,0.7691819999999999
384,Austria,2020-10-31,2,0.5439205
385,Austria,2020-11-30,1,0.705744
386,Austria,2020-12-31,5,0.7529184
387,Austria,2021-01-31,3,0.5344996666666667
388,Austria,2021-02-28,2,0.800628
389,Austria,2021-03-31,1,0.29868
390,Austria,2021-04-30,1,0.876138
391,Austria,2021-05-31,2,0.6397245
392,Austria,2021-06-30,3,0.354767
393,Austria,2021-07-31,2,0.7860255
394,Austria,2021-08-31,4,0.57522025
395,Austria,2021-09-30,1,0.560359
396,Austria,2021-10-31,4,0.8771760000000001
397,Austria,2021-11-30,5,0.603049
398,Austria,2021-12-31,10,0.6560354
399,Austria,2022-01-31,2,0.7090145000000001
400,Austria,2022-02-28,1,0.417875
401,Austria,2022-03-31,2,0.593906
402,Austria,2022-04-30,3,0.7237013333333334
403,Austria,2022-05-31,4,0.5387935
404,Austria,2022-06-30,4,0.63900225
405,Austria,2022-07-31,2,0.563011
406,Austria,2022-08-31,1,0.928724
407,Austria,2022-09-30,2,0.765459
408,Austria,2022-10-31,13,0.48855215384615386
409,Austria,2022-11-30,4,0.6945717499999999
410,Austria,2022-12-31,22,0.7387648636363636
411,Austria,2023-01-31,3,0.6350733333333333
412,Austria,2023-02-28,18,0.5739212777777778
413,Austria,2023-03-31,3,0.68131
414,Austria,2023-04-30,1,0.643151
415,Austria,2023-05-31,3,0.681296
416,Azerbaijan,2013-02-28,2,0.456218
417,Azerbaijan,2013-05-31,1,0.721407
418,Azerbaijan,2014-03-31,1,0.536874
419,Azerbaijan,2015-07-31,1,0.708153
420,Azerbaijan,2017-04-30,1,0.810301
421,Azerbaijan,2018-09-30,1,0.603809
422,Azerbaijan,2019-05-31,1,0.751854
423,Azerbaijan,2019-12-31,1,0.71254
424,Azerbaijan,2020-02-29,1,0.797806
425,Azerbaijan,2021-02-28,2,0.714514
426,Azerbaijan,2021-09-30,3,0.7323066666666667
427,Azerbaijan,2021-11-30,2,0.526601
428,Azerbaijan,2021-12-31,1,0.784796
429,Azerbaijan,2022-01-31,3,0.72302
430,Azerbaijan,2022-02-28,1,0.625975
431,Azerbaijan,2022-04-30,3,0.7259383333333332
432,Azerbaijan,2022-05-31,14,0.611955
433,Azerbaijan,2022-06-30,2,0.484387
434,Azerbaijan,2022-07-31,4,0.7740779999999999
435,Azerbaijan,2022-08-31,1,0.643525
436,Azerbaijan,2022-11-30,6,0.5706971666666667
