,ADMIN,date,tweets_num,score
0,Afghanistan,2022-07-31,1,0.607378
1,Algeria,2017-02-28,1,0.736419
2,Algeria,2021-05-31,1,0.754075
3,Angola,2023-01-31,1,0.628415
4,Antarctica,2018-11-30,6,0.7923736666666666
5,Antarctica,2018-12-31,4,0.7859119999999999
6,Antarctica,2019-01-31,9,0.8187417777777779
7,Antarctica,2019-02-28,3,0.84536
8,Antarctica,2019-09-30,1,0.865394
9,Antarctica,2019-10-31,5,0.8089234
10,Antarctica,2019-11-30,4,0.8623395
11,Antarctica,2019-12-31,4,0.80625275
12,Antarctica,2020-01-31,3,0.9067026666666665
13,Antarctica,2020-02-29,3,0.8334036666666668
14,Antarctica,2020-03-31,4,0.865872
15,Antarctica,2020-04-30,4,0.784386
16,Antarctica,2020-05-31,2,0.8301784999999999
17,Antarctica,2020-07-31,1,0.741849
18,Argentina,2015-03-31,5,0.6242882
19,Argentina,2019-01-31,4,0.7066675
20,Argentina,2019-05-31,3,0.78954
21,Argentina,2019-09-30,1,0.557597
22,Argentina,2020-04-30,1,0.432163
23,Argentina,2020-12-31,1,0.706054
24,Argentina,2021-05-31,3,0.505108
25,Argentina,2021-10-31,1,0.590176
26,Argentina,2021-11-30,2,0.784243
27,Argentina,2021-12-31,2,0.539283
28,Argentina,2022-02-28,2,0.42643200000000003
29,Argentina,2022-03-31,1,0.783771
30,Argentina,2022-05-31,1,0.759371
31,Argentina,2022-07-31,1,0.557176
32,Argentina,2022-09-30,2,0.6257845
33,Argentina,2022-11-30,2,0.7105755
34,Argentina,2023-02-28,5,0.6454954
35,Argentina,2023-03-31,16,0.553795125
36,Argentina,2023-04-30,1,0.680546
37,Australia,2018-02-28,1,0.886844
38,Australia,2018-07-31,2,0.38171849999999996
39,Australia,2018-08-31,6,0.7432113333333333
40,Australia,2018-09-30,1,0.974587
41,Australia,2018-10-31,1,0.641349
42,Australia,2019-01-31,4,0.49214
43,Australia,2019-02-28,1,0.466688
44,Australia,2019-05-31,1,0.741035
