,ADMIN,date,tweets_num,score
0,Afghanistan,2022-07-18,1,0.607378
1,Algeria,2017-02-03,1,0.736419
2,Algeria,2021-05-21,1,0.754075
3,Angola,2023-01-31,1,0.628415
4,Antarctica,2018-11-05,2,0.8366245
5,Antarctica,2018-11-11,1,0.815706
6,Antarctica,2018-11-18,1,0.832387
7,Antarctica,2018-11-25,1,0.693718
8,Antarctica,2018-11-28,1,0.739182
9,Antarctica,2018-12-05,1,0.739182
10,Antarctica,2018-12-12,1,0.770682
11,Antarctica,2018-12-16,1,0.863102
12,Antarctica,2018-12-19,1,0.770682
13,Antarctica,2019-01-06,1,0.905553
14,Antarctica,2019-01-09,1,0.770657
15,Antarctica,2019-01-13,1,0.893856
16,Antarctica,2019-01-16,1,0.752913
17,Antarctica,2019-01-20,1,0.933245
18,Antarctica,2019-01-23,1,0.752913
19,Antarctica,2019-01-24,1,0.732797
20,Antarctica,2019-01-27,1,0.901141
21,Antarctica,2019-01-30,1,0.725601
22,Antarctica,2019-02-03,1,0.887424
23,Antarctica,2019-02-06,1,0.725601
24,Antarctica,2019-02-10,1,0.923055
25,Antarctica,2019-09-15,1,0.865394
26,Antarctica,2019-10-02,1,0.746874
27,Antarctica,2019-10-06,1,0.717688
28,Antarctica,2019-10-13,1,0.887617
29,Antarctica,2019-10-20,1,0.810584
30,Antarctica,2019-10-27,1,0.881854
31,Antarctica,2019-11-03,1,0.871077
32,Antarctica,2019-11-06,1,0.755387
33,Antarctica,2019-11-10,1,0.910929
34,Antarctica,2019-11-24,1,0.911965
35,Antarctica,2019-12-01,1,0.912191
36,Antarctica,2019-12-04,1,0.728065
37,Antarctica,2019-12-08,1,0.893946
38,Antarctica,2019-12-15,1,0.690809
39,Antarctica,2020-01-12,1,0.905764
40,Antarctica,2020-01-19,1,0.912578
41,Antarctica,2020-01-26,1,0.901766
42,Antarctica,2020-02-02,1,0.903288
43,Antarctica,2020-02-05,1,0.728065
44,Antarctica,2020-02-16,1,0.868858
45,Antarctica,2020-03-01,1,0.913956
46,Antarctica,2020-03-04,1,0.728065
47,Antarctica,2020-03-08,1,0.894683
48,Antarctica,2020-03-22,1,0.926784
49,Antarctica,2020-04-01,1,0.728065
50,Antarctica,2020-04-05,1,0.881463
51,Antarctica,2020-04-19,1,0.81586
52,Antarctica,2020-04-26,1,0.712156
53,Antarctica,2020-05-03,1,0.906718
54,Antarctica,2020-05-06,1,0.753639
55,Antarctica,2020-07-01,1,0.741849
56,Argentina,2015-03-17,1,0.558962
57,Argentina,2015-03-18,1,0.175973
58,Argentina,2015-03-21,1,0.619647
59,Argentina,2015-03-22,2,0.8834295
60,Argentina,2019-01-23,2,0.681212
61,Argentina,2019-01-24,2,0.732123
62,Argentina,2019-05-20,1,0.741833
63,Argentina,2019-05-27,1,0.710175
64,Argentina,2019-05-30,1,0.916612
65,Argentina,2019-09-25,1,0.557597
66,Argentina,2020-04-14,1,0.432163
67,Argentina,2020-12-03,1,0.706054
68,Argentina,2021-05-11,3,0.505108
69,Argentina,2021-10-20,1,0.590176
70,Argentina,2021-11-04,1,0.815388
71,Argentina,2021-11-21,1,0.753098
72,Argentina,2021-12-01,1,0.564105
73,Argentina,2021-12-10,1,0.514461
74,Argentina,2022-02-01,1,0.346253
75,Argentina,2022-02-22,1,0.506611
76,Argentina,2022-03-26,1,0.783771
77,Argentina,2022-05-02,1,0.759371
78,Argentina,2022-07-28,1,0.557176
79,Argentina,2022-09-15,2,0.6257845
80,Argentina,2022-11-16,1,0.886181
81,Argentina,2022-11-24,1,0.53497
82,Argentina,2023-02-13,1,0.707341
83,Argentina,2023-02-15,2,0.7024025
84,Argentina,2023-02-21,1,0.207737
85,Argentina,2023-02-22,1,0.907594
86,Argentina,2023-03-05,1,0.650491
87,Argentina,2023-03-10,1,0.419828
88,Argentina,2023-03-11,11,0.5620065454545454
89,Argentina,2023-03-12,3,0.5361103333333334
90,Argentina,2023-04-25,1,0.680546
91,Australia,2018-02-22,1,0.886844
92,Australia,2018-07-26,2,0.38171849999999996
93,Australia,2018-08-24,2,0.786466
94,Australia,2018-08-27,3,0.720742
95,Australia,2018-08-28,1,0.72411
96,Australia,2018-09-05,1,0.974587
97,Australia,2018-10-03,1,0.641349
98,Australia,2019-01-03,1,0.656536
99,Australia,2019-01-09,1,0.187252
100,Australia,2019-01-11,1,0.544714
101,Australia,2019-01-14,1,0.580058
102,Australia,2019-02-23,1,0.466688
103,Australia,2019-05-05,1,0.741035
104,Australia,2019-07-23,1,0.588376
105,Australia,2019-09-07,1,0.498713
106,Australia,2019-12-09,1,0.786218
